videoId,commentId,author,text,likes,publishedAt,normalized,label,score,source,score_neg,score_neu,score_pos
mDSxJn1HxQk,UgwTTE8sW7VWn_vKd2R4AaABAg,@thunguyetvu4729,"Những bậc lão tiền Bối đã ra đi,mong sao Hậu sinh khả uý còn tiếp nối để môn nghệ thuật này không bị mất đi",0,1761149322.842647,"những bậc lão tiền bối đã ra đi,mong sao hậu sinh khả uý còn tiếp nối để môn nghệ thuật này không bị mất đi",POS,0.8163305521011353,model,0.02134210243821144,0.16232739388942719,0.8163305521011353
mDSxJn1HxQk,UgxPifK_ExVLyhDXwTl4AaABAg,@kietduavlog183,Chú thanh sơn diễn đúng y như chú thanh thanh tong,2,1682179722.844572,chú thanh sơn diễn đúng y như chú thanh thanh tong,NEU,0.6373298168182373,model,0.03642487898468971,0.6373298168182373,0.3262453079223633
mDSxJn1HxQk,Ugxce3gOglfxnavC7AV4AaABAg,@thanhtu9360,nhị tẩu vũ đạo đẹp qúa,0,1745338122.845588,nhị tẩu vũ đạo đẹp qúa,POS,0.9928243160247803,model,0.002054022392258048,0.005121652968227863,0.9928243160247803
mDSxJn1HxQk,UgyrrMGqaKzSciq83uB4AaABAg,@tienatle7410,Ông áo đen gọi là BAO CÔNG,2,1650643722.846498,ông áo đen gọi là bao công,NEU,0.8774623870849609,model,0.0829160287976265,0.8774623870849609,0.03962158411741257
mDSxJn1HxQk,UgwhRbYX-QJpYRFoj8l4AaABAg,@vanchuctran2102,Toan la dien vien gao coi cua ho quang. Xin tiep tuc duy tri,3,1650643722.847467,toan la dien vien gao coi cua ho quang. xin tiep tuc duy tri,NEG,0.9862608313560486,model,0.9862608313560486,0.009832912124693394,0.0039062537252902985
mDSxJn1HxQk,UgxBeBMn7zbz2b-JNJx4AaABAg,@daohuutuananhdaohuutuananh2447,Mở đầu nghe 5hỗ tào tháo là biết hay rồi,2,1619107722.848402,mở đầu nghe 5hỗ tào tháo là biết hay rồi,POS,0.9880375862121582,model,0.004527147859334946,0.007435248699039221,0.9880375862121582
mDSxJn1HxQk,Ugx47m4pI0mpr_5tSJ14AaABAg,@kerrywood221,Trên cả tuyệt vời 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻❤️❤️❤️💪🏻💪🏻💪🏻💪🏻,1,1650643722.849296,trên cả tuyệt vời tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực tích_cực,POS,0.9928493499755859,model,0.001997422892600298,0.005153285805135965,0.9928493499755859
mDSxJn1HxQk,UgyoJ9u5zJd9B5iQVvF4AaABAg,@thydiep3066,Cái ghế thấp quá mất oai ông Tào Tháo,0,1753200522.850554,cái ghế thấp quá mất oai ông tào tháo,NEG,0.985238254070282,model,0.985238254070282,0.01070329174399376,0.004058487713336945
mDSxJn1HxQk,Ugxcm8HjfjrIyPko0514AaABAg,@liemdoan5662,"Hơn 40 năm rồi mới coi lại... nhớ ngày nào đêm nào cũng coi, cứ nghe đoàn Minh Tơ ở đâu ở Sài Gòn là đi coi, từ Thủ Đô, Đại Đồng, Long Vân, Hưng Đạo, Lệ Thanh v.v... Giới trẻ bây giờ đâu thấy cái hay của hồ quảng, của hát bộ (bộ điệu).",9,1587571722.851524,"hơn 40 năm rồi mới coi lại.. nhớ ngày nào đêm nào cũng coi, cứ nghe đoàn minh tơ ở đâu ở sài gòn là đi coi, từ thủ đô, đại đồng, long vân, hưng đạo, lệ thanh v.v.. giới trẻ bây giờ đâu thấy cái hay của hồ quảng, của hát bộ bộ điệu .",NEU,0.729917585849762,model,0.09165634959936142,0.729917585849762,0.17842604219913483
mDSxJn1HxQk,UgzDsfRDyov6DOKdylF4AaABAg,@saule4754,Hai nghệ sĩ Thanh Sơn và Bạch Long quá hay.👍👍👍❤,3,1587571722.852496,hai nghệ sĩ thanh sơn và bạch long quá hay. tích_cực tích_cực tích_cực tích_cực,POS,0.9535093307495117,model,0.01820676214993,0.028283869847655296,0.9535093307495117
