videoId,commentId,author,text,likes,publishedAt
mDSxJn1HxQk,UgwTTE8sW7VWn_vKd2R4AaABAg,@thunguyetvu4729,"Những bậc lão tiền Bối đã ra đi,mong sao Hậu sinh khả uý còn tiếp nối để môn nghệ thuật này không bị mất đi",0,1761149322.842647
mDSxJn1HxQk,UgxPifK_ExVLyhDXwTl4AaABAg,@kietduavlog183,Chú thanh sơn diễn đúng y như chú thanh thanh tong,2,1682179722.844572
mDSxJn1HxQk,Ugxce3gOglfxnavC7AV4AaABAg,@thanhtu9360,nhị tẩu vũ đạo đẹp qúa,0,1745338122.845588
mDSxJn1HxQk,UgyrrMGqaKzSciq83uB4AaABAg,@tienatle7410,Ông áo đen gọi là BAO CÔNG,2,1650643722.846498
mDSxJn1HxQk,UgwhRbYX-QJpYRFoj8l4AaABAg,@vanchuctran2102,Toan la dien vien gao coi cua ho quang. Xin tiep tuc duy tri,3,1650643722.847467
mDSxJn1HxQk,UgxBeBMn7zbz2b-JNJx4AaABAg,@daohuutuananhdaohuutuananh2447,Mở đầu nghe 5hỗ tào tháo là biết hay rồi,2,1619107722.848402
mDSxJn1HxQk,Ugx47m4pI0mpr_5tSJ14AaABAg,@kerrywood221,Trên cả tuyệt vời 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻❤️❤️❤️💪🏻💪🏻💪🏻💪🏻,1,1650643722.849296
mDSxJn1HxQk,UgyoJ9u5zJd9B5iQVvF4AaABAg,@thydiep3066,Cái ghế thấp quá mất oai ông Tào Tháo,0,1753200522.850554
mDSxJn1HxQk,Ugxcm8HjfjrIyPko0514AaABAg,@liemdoan5662,"Hơn 40 năm rồi mới coi lại... nhớ ngày nào đêm nào cũng coi, cứ nghe đoàn Minh Tơ ở đâu ở Sài Gòn là đi coi, từ Thủ Đô, Đại Đồng, Long Vân, Hưng Đạo, Lệ Thanh v.v... Giới trẻ bây giờ đâu thấy cái hay của hồ quảng, của hát bộ (bộ điệu).",9,1587571722.851524
mDSxJn1HxQk,UgzDsfRDyov6DOKdylF4AaABAg,@saule4754,Hai nghệ sĩ Thanh Sơn và Bạch Long quá hay.👍👍👍❤,3,1587571722.852496
mDSxJn1HxQk,Ugyf4SMM_K8j2NZc0tF4AaABAg,@tiennguyenmanh3236,"Thanh son,bạch long diễn xuất sắc hay qua cam ơn các co chu anh chi em nghe si ,cầu  chúc tất ca luôn gặp nhiều may mắn sức khoẻ binh an!",2,1619107722.853466
mDSxJn1HxQk,UgyoNjPxfAh1IEgPUWx4AaABAg,@lehangpham5245,"Su dac thu cua Cai Luong Ho Quang Minh To  tu Hoa trang, Phuc trang, Dien xuat rat cong phu.
Dien xuat vai Quan Cong NS Thanh Tong, Thanh Bach, Truong Son, Buu Truyen, Thanh Son, Chi Bao rat dieu luyen va thanh cong. Bach Long hoa trang va dien xuat rat giong NS Thanh Bach trong vai Trinh An ""Dieu Tam Xuan"" rat hay va moi la. Chuc Thanh Son va Bach Long duoc nhieu suc khoe va mang den su yeu thuong tu khan gia cua bo mon Cai Luong Ho Quang.",3,1619107722.85435
mDSxJn1HxQk,UgxzpflG9C4t0Wz9D5J4AaABAg,@daohuutuananhdaohuutuananh2447,Chỉ có thiếu chu thương,1,1619107722.855237
mDSxJn1HxQk,Ugzn6MN55CQ43nRelBZ4AaABAg,@rachelphan4480,Hay qua bach long voi Thanh son  dien  hat hay qua dung la con nha noi bac hai ton  voi bac ba to  cung vui mung  duoc cac con noi doi chuc mung  hai ban,3,1524413322.856182
mDSxJn1HxQk,UgwsKXvi2c5-3JCgNHx4AaABAg,@lemy3296,Nhạt nền quá lớn,1,1619107722.857079
mDSxJn1HxQk,UgzwVV3gsHPSXGHk-l14AaABAg,@rachelphan4480,Coi trich doan nay lam toi nho lai cai thoi cua bac ba to voi ba toi nhac sy bay thu va cac dong nghiep doan Minh to  nay cac bac bac cha chu da quy tien doan tu Theo ong ba het  bac hai ton nua lam lien tuong nho hat boi qua,2,1524413322.858015
mDSxJn1HxQk,Ugy6xEHeBEVhvIMqXTR4AaABAg,@tanlethanh1378,"Sao mỗi lần xem môn nghệ thuật này hay là mình khóc à, khóc ko phải vì tuồng cảm động mà khóc vì ko biết tương lai bộ môn nghệ thuật này có còn ai diễn nữa ko",3,1619107722.858908
mDSxJn1HxQk,UgzMGcudIqHqLoAbyDd4AaABAg,@kerrywood221,"Bạch Long diễn Tào Tháo trong gian có nhân, rất xuất sắc 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻❤️❤️🌷🌷❤️❤️",0,1650643722.859798
mDSxJn1HxQk,UgxtmMkLMnM6aF29M514AaABAg,@ngangoc4585,Hay quá hay luôn ạ👏👏👏👏👏👏,3,1555949322.860693
mDSxJn1HxQk,UgxDZEoBW_vX4cVFw0Z4AaABAg,@JeysonPHAM,Xuất sắc quá !,3,1587571722.861578
mDSxJn1HxQk,UgyCSQtxYU_1ec4byjp4AaABAg,@daohuutuananhdaohuutuananh2447,Quá hay,1,1619107723.729739
mDSxJn1HxQk,Ugz1WfhcDwSuIuLBWqd4AaABAg,@dantocvanhoa9373,Tào tháo ca hay qá,3,1555949323.73097
mDSxJn1HxQk,UgzjYYyaZmUEkNxli3l4AaABAg,@kerrywood221,"Một bộ môn nghệ thuật rất hay và đặc sắc , nhân tiếc thay bị việt cộng giết lần giết mòn !!!",2,1650643723.731937
mDSxJn1HxQk,UgxEJrDYaRpoUtMvOg54AaABAg,@loctan1429,Cho hỏi cây thanh Long đại đao làm bằng gì vậy,1,1619107723.733313
mDSxJn1HxQk,UgwmS7SQZ8GB3eZjfR14AaABAg,@CG2C,Trích đoạn dàn dựng công phu...hay quá! cám ơn các nghệ sỹ..,3,1555949323.735073
mDSxJn1HxQk,Ugyi1curpahiSFuwtot4AaABAg,@anle146,Cho hỏi nghệ sĩ nào vào vai nào vậy,2,1587571723.736165
mDSxJn1HxQk,UgwO3SRXq3JvfcoXe294AaABAg,@kerrywood221,Thanh Sơn diễn Quang Công rất xuất thần 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻❤️💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻❤️❤️👍🏻👍🏻👍🏻🌷🌷🌷🌷🌷🌹🌹🌹,2,1650643723.737152
mDSxJn1HxQk,UgyEV3rP7DtLyY2teot4AaABAg,@niggasluv0429,Cho minh hoi tai Sao co it tuong cai luong ve quan Cong vay?,2,1555949323.738146
mDSxJn1HxQk,UgzAHafNl-iISzy-ryx4AaABAg,@DenPham-bi9lj,Chú ếch chị hai đó hát bội thì ra tình cảm thập cẩm xào xà bần không hay đâu,0,1713802123.740552
mDSxJn1HxQk,UgyItFFfDibEbLS5nrB4AaABAg,@ThaoNguyen-tg3ue,"Vai Nhà Sư mặc quần tây , giầy tây luôn nhé các bạn ! Cần kiểm tra phục trang trước khi diễn để khỏi làm hư vở diễn",1,1650643723.742442
mDSxJn1HxQk,Ugz2H8VZWinafryX1wt4AaABAg,@DenPham-bi9lj,", đừng nên hát bội với hát Hồ Quảng Trung là không hay đâu cái nào ra cái đấy chứ",0,1713802123.743639
NZzB06yvpPM,UgwNFomfxBZ7Z9nmbb54AaABAg,@NewSàiGòn-m3n,Nếu thấy video hữu ích các Bạn hãy nhớ ủng hộ kênh để nhận thông báo video mới tiếp theo nha!,2,1555949325.273185
NZzB06yvpPM,UgzsHfxkgRf5SanadaZ4AaABAg,@chaunguyenhoang8630,Nam Mô A Di Đà Phật,0,1650643725.274406
NZzB06yvpPM,UgzA70ib33wXen9uSUF4AaABAg,@Trotlining,Very well executed work! Amazing throughout the entire piece! Can't wait till the next!,1,1555949325.2754
NZzB06yvpPM,UgwsA1z3Xi5GkYejb1F4AaABAg,@trangtran2204,Diễn xuất hay hay quá ! Cám ơn bh chia sẻ,1,1555949325.276326
NZzB06yvpPM,UgyN29lKPdgVcJ9Oylx4AaABAg,@TrinhTran,cải lương hay quá! bảo tồn văn hóa dân tộc là đây! likk tám,0,1555949325.277557
NZzB06yvpPM,UgyRcrf8QWpamWFPnbl4AaABAg,@anphucquetoi7958,Diễn quá hay bạn ơi,1,1555949325.278888
NZzB06yvpPM,UgwACVwaxdxcp54S8yV4AaABAg,@KieuNguyen-kn1ut,Bảo toàn văn hóa châu á!,0,1682179725.280219
NZzB06yvpPM,UgyPjqemdpNmNmRrHb54AaABAg,@karaokesongcacungnguyencamau,Quá dữ,0,1555949325.281136
NZzB06yvpPM,UgzVu19h2eICwWh_N5l4AaABAg,@Thanhb12,Vẽ mặt ghê quá,0,1555949325.282046
Taiunz2tATE,UgxpLo3uIg_ww4cqaMZ4AaABAg,@utchu4920,quan công có bố thanh tòng thủ vai là chuẩn ok,0,1745338126.874245
Taiunz2tATE,Ugwgj4MTjxTucwN7jiZ4AaABAg,@vudoduy7839,Cho xem vở ĐÔNG LỘ ĐỊCH .nhớ quá rồi. Trân trọng  ạ!!,0,1682179726.876453
Taiunz2tATE,UgzJ76J7eSqmHDaTpnh4AaABAg,@andytony5449,Ngoài Bình Định sao ko chọn màu áo Xanh là chuối mà bên Mỹ gọi màu Xanh Green tay văn tay vỏ bên Mãng  bên Bào mới xứng danh Quan Công,1,1682179726.878138
Taiunz2tATE,UgxN9-SecUscDsSKq2B4AaABAg,@vudoduy7839,Kênh anh nhân mac sao ko thấy vậy ad.thích nghe lại trọn tuồng đông lộ địch. Trân trọng!,1,1650643726.87951
Taiunz2tATE,UgxPKGrcCRMIcTPu11R4AaABAg,@HạnhHuỳnh-h4u,Chủ kênh cho mình hỏi vở tuồng này được diễn vào năm nào vây ạ,0,1713802126.880732
