videoId,title,channel,publishedAt,views,likes,comments
nacxiwnjzDM,QUAN VŨ liệu có phải vị tướng nổi danh bậc nhất thời Tam quốc?,Spiderum,2025-01-24,277306,1533,361
rkyqPuZeAzI,Quan Vũ chết như thế nào?,Sử Tàng Ẩn Mật,2025-08-01,921,5,0
D40Mta2VZqE,Quan Vũ bị Lữ Mông giết chết,Công Nhân Phép Màu,2023-06-14,26324,0,9
kqKuNxTRnxk,"Chọc Vào Cái Nư QUAN VŨ, Đại Tướng HOA HÙNG Rớt Thủ Cấp Trong 1 Nốt Nhạc | Hổ Uy Tướng",MỌT PHIM TRUNG QUỐC,2024-11-09,349700,939,194
0RW3kFrjJBw,QUAN VŨ | Vì sao ông được tôn thờ đến ngày nay | Audio NGHE DỄ NGỦ | Triết Cổ Nhân,Triết Cổ Nhân,2025-04-14,36445,316,61
Ey8BrwHdCJw,Quan Vũ Tại Hoa Dung: Một Quyết Định Vì Trung Nghĩ,Học viện WECAP,2025-01-09,48791,150,6
VgycR5L5PBk,"Thanh niên xuyên không làm con trai quan vũ, dùng trí tuệ đánh chiếm thành địch.",Bông cải review,2025-05-07,288650,3124,376
zhYI0usiAHk,Những Trận Chiến Hay Nhất Của Quan Công Võ Thánh - Quan Vũ Trảm Tướng Dẹp Loạn Thiên Hạ | Yêu Phim,Yêu Phim,2022-07-06,261771,562,36
o5dP4d98h3A,Quan Vũ Vượt 5 Ải Chém 6 Tướng Cả Giới Võ Tướng Nghe Qua Tên Ông Đều Khiếp Sợ | Trùm Phim,Boss Movies,2022-07-06,1346215,0,84
H1ZP5nEKyBU,Thanh Long Yển Nguyệt Đao Của Quan Vũ Từ Đâu Được Sinh Ra Trên Cõi Đời Này | Quan Công | Chợ Phim,Chợ Phim,2022-07-07,539077,1448,248
NCGrCx2N4tA,"(FULL BỘ) Quan Vũ Tuyệt Lộ, Con Trai Đưa Kế Điên Rồ: Đánh Thẳng Kiến Nghiệp, Lấy Đầu Tôn Quyền",Tiểu Đạo Trưởng,2025-12-02,101686,660,178
2291RLwh8ac,Quan Vũ 1 Đao Rung Lở Trời Đất Lấy Mạng Văn Xú Trong 1 Nốt Nhạc | Hổ Uy Tướng,MỌT PHIM TRUNG QUỐC,2024-11-18,46477,159,9
lONKV9Nsomw,Xích Thố Về Tay Quan Vũ Và 1 Phen Khiến Tào Tháo Sợ Đến Xanh Mặt | Hổ Uy Tướng,MỌT PHIM TRUNG QUỐC,2024-11-18,74514,199,8
wrkel1CXFhI,PHIM HÀNH ĐỘNG VÕ THUẬT KINH ĐIỂN | QUAN VÂN TRƯỜNG - Phần Cuối | Phim Hành Động Võ Thuật Hay Nhất,Phim Hay Official,2020-11-06,2810603,10947,403
2XbvuSg5wug,ĐIỀU NÀY SẼ KHIẾN BẠN PHẢI CÔNG NHẬN QUAN VŨ LÀ CHIẾN THẦN ĐỆ NHẤT TAM QUỐC,BATTLECRY - HÀNH TRÌNH,2023-01-30,87955,754,385
t7ozWtcVgdU,Sự thật về Quan Vũ có thể bạn chưa biết!! Quan Vũ là ai??,KIẾN THỨC THÚ VỊ Official,2021-12-02,572730,8129,928
eeW-_XW6R7A,TRUYỀN THUYẾT QUAN VÂN TRƯỜNG | Quan Vũ Sinh Ra Như Thế Nào | Phim Tam Quốc Diễn Nghĩa | Chợ Phim,Chợ Phim,2022-07-12,849577,2151,97
w8z3P2eIVWM,[Review Phim] Anh Chăn Bò Nghĩa Khí Xách Đao Chém Đầu Tướng Địch Giải Cứu Chị Dâu | Quan Vân Trường,Mọt Xinh Review,2024-01-05,214111,1020,64
QHbW-YihGyw,Vì sao người ta lại thờ Quan Công? Lịch sử Quan Vũ - Quan Vân Trường!,Tam Quốc -  Đa Vũ Trụ,2025-03-11,16358,56,28
qP_17PNMQJM,Trương Phi tử chiến với Quan Vũ ai sẽ thắng??,Tàng Kinh Các,2024-11-19,5058,80,36
HGNFnnmbI2I,"Xuyên không Tam Quốc cứu Quan Vũ,giết Lữ Mông đánh bại Giang Đông",CamCam review,2026-04-03,8216,126,9
aEWvnOYDs9k,Xuyên Không Thành Võ Thánh Quan Vũ Ta Sẽ Không Để Mất Kinh Châu Lần Nữa!,Nâu Review Phim'sssss,2026-03-25,34134,491,46
f1lrAUZOTe8,Quan Vũ Khoác Áo Vải Lên Phố Tung Kung Fu Thần Lực Hạ Gục Hết Cao Thủ Giang Hồ | Trùm Phim,Boss Movies,2022-07-05,293930,0,20
bfvcDWamkJs,Quan Vũ TỬ TRẬN Vì Sao Gia Cát Lượng KHÔNG HỀ ĐAU LÒNG?,Trí Tuệ Người Xưa,2024-12-30,142227,601,166
qDfLptpp3Tw,[Full] Xuyên không dạy Quan Vũ đánh du kích khiến Tào Tháo toát mồ hôi hột,Bún Chả Review,2026-03-07,13144,217,21
IBn-vEghAxo,"Quan Vũ - Vị tướng dũng mãnh, trung nghĩa nhưng kiêu ngạo | Tóm tắt lịch sử Trung Quốc",Sử Lược - Tóm Tắt Lịch Sử,2024-04-01,15485,211,34
zlIMtEETFcs,Trận Đánh Đầu Tiên Quan Vũ Vác Thanh Long Đao Chém 1 Nhát Xử Hoa Hùng | Quan Công | Chợ Phim,Chợ Phim,2022-07-06,617772,1432,279
ptUdenleTkc,Vì sao Lã Mông có thể HẠ GỤC Quan Vũ dễ dàng,Trí Tuệ Người Xưa,2025-08-28,1665,20,13
MM2Qbq7soGo,CHUẨN NHẠC QUÂN VŨ TẠI PHỐ ĐI BỘ HỒ GƯƠM |Nhạc các điệu vũ trong sinh hoạt tập thể cho bộ đội|,Bộ đội Cụ Hồ TV,2024-12-26,983080,4033,533
wIAE6g1qZsU,Quan Vũ thời đỉnh cao mất bao lâu có thể chém được Triệu Tử Long ở Trường Bản Pha?,Tàng Kinh Các,2025-08-19,4302,66,66
dzzYEyV0GZU,NHẢY GIỮA LÒNG NHÂN DÂN - TUYỆT ĐỈNH QUÂN VŨ A80,Bộ đội Cụ Hồ TV,2025-09-02,225407,2435,247
RTHIIpYZJ3A,‘Võ Thánh’ Quan Vũ Và Thất Bại Của Nhà Thục Hán Vì Tính Kiêu Ngạo,Người Nổi Tiếng,2017-12-18,74656,731,111
YJ1gBW903A8,Tất cả các tướng Tam Quốc trong 15 phút,Vui Vẻ,2024-09-16,1651673,24177,873
DYhw5goN4Pc,Trận Đánh Mãn Nhãn Nhất Tam Quốc: LỮ BỐ 1 Mình Chấp 3 Anh Em LƯU QUAN TRƯƠNG | Hổ Uy Tướng,MỌT PHIM TRUNG QUỐC,2024-11-10,341822,746,114
T0QTFw7PBT8,"Ngũ hổ tướng Thục Hán: Quan Vũ, Trương Phi, Triệu Vân, Hoàng Trung, Mã Siêu | Lịch sử Trung Quốc",Sử Lược - Tóm Tắt Lịch Sử,2024-05-13,84338,457,63
BiJ7PelckmA,"Nếu Quan Vũ giết Tào Tháo ở Hoa Dung, Lưu Bị có thống nhất thiên hạ được hay không?",WECAP Kể chuyện xưa,2025-01-06,6729,21,5
rPuIsk5Ahp4,QUAN VŨ ĐÁNH TRẬN ĐẦU CHÉM HOA HÙNG | TAM QUỐC CHÍ | THREE KINGDOM,Phim Cực Đỉnh,2020-05-30,224516,161,17
