videoId,NEG,NEU,POS,total,POS_pct,NEU_pct,NEG_pct
HLTBDQ6h83Y,20,19,5,44,11.36,43.18,45.45
LpQY6DN8ZKg,6,6,2,14,14.29,42.86,42.86
N61GWzkjyuQ,19,36,18,73,24.66,49.32,26.03
NZzB06yvpPM,1,2,6,9,66.67,22.22,11.11
O-KF-3uMySM,16,20,27,63,42.86,31.75,25.4
QHbW-YihGyw,3,5,5,13,38.46,38.46,23.08
RTHIIpYZJ3A,12,8,6,26,23.08,30.77,46.15
Taiunz2tATE,1,2,3,6,50.0,33.33,16.67
ZQR-06QFe74,84,174,136,394,34.52,44.16,21.32
i2KTUrkbRRs,5,11,11,27,40.74,40.74,18.52
lZgyTa5C6MU,0,1,1,2,50.0,50.0,0.0
mDSxJn1HxQk,6,10,15,31,48.39,32.26,19.35
nacxiwnjzDM,43,70,38,151,25.17,46.36,28.48
r13Nlqn1How,0,3,1,4,25.0,75.0,0.0
sVYXzMsLEXA,4,23,78,105,74.29,21.9,3.81
